,state,city,song,artist,uris
1049,Illinois,Chicago,Chicago,– Revolutionary Ensemble,spotify:track:4wVOKKEHUJxHCFFNUWDn0B
1050,Illinois,Chicago,Chicago,– Lucy Wainwright Roche,spotify:track:1fQiH5z7grfco5RQN0A7W8
1051,Illinois,Chicago,Chicago,– Rodgers & Hart,spotify:track:5TXVzJMp3qiJKl9IXabYnd
1052,Illinois,Chicago,Chicago,– Alexander Rosenbaum,spotify:track:4wVOKKEHUJxHCFFNUWDn0B
1053,Illinois,Chicago,Chicago,– Shawnna,spotify:track:6HDVUlSct34NZSVRhQ583Q
1054,Illinois,Chicago,Chicago,– Simoncino,spotify:track:0dvvk6SwlGRG2Ua1kvc2hs
1055,Illinois,Chicago,Chicago,– Sufjan Stevens,spotify:track:7Bo0xLcXWx3pdhqwthqGaz
1056,Illinois,Chicago,Chicago,– The Tossers,spotify:track:2xz7x8ITFs6re6RIZl2hCZ
1057,Illinois,Chicago,Chicago,– The Uglysuit,spotify:track:0QJWFxscGgLBEYnDhXQDfD
1058,Illinois,Chicago,Chicago,– Kate Voegele,spotify:track:2uVSfjgOVpHrzuosXeITey
1059,Illinois,Chicago,Chicago,– Sean Watkins,spotify:track:6adWs45QDTg1SqAyDRrwKe
1060,Illinois,Chicago,Chicago,– Andre Williams,spotify:track:2UY57amg56ERr1O4DkDHVH
1061,Illinois,Chicago,Chicago  1926,Nanette Workman,spotify:track:6F76ic7c6au3QxG6jaso7N
1062,Illinois,Chicago,Chicago 60616,Kenny and the Kasuals,error
1063,Illinois,Chicago,Chicago's Finest,– Emmure,spotify:track:2GzmhdRkaErvYeEd8polUq
1064,Illinois,Chicago,Chicago's Gift to a 'Nation's Hero',(U.S. Grant) 1891 – composer & lyricist: W.C. Robey,error
1065,Illinois,Chicago,Chicago's Queen,– Baron Longfellow,spotify:track:550YyHm9PWX2BlcVk2IayG
1066,Illinois,Chicago,"Chicago, Chicago",– Lord Invader,spotify:track:6sIzeZz60DkoXTLVHezKMg
1067,Illinois,Chicago,"Chicago, Chicago",Teddy Phillips And His Orchestra featuring Colleen Lovett,spotify:track:192RjH0gN6en7nE6ElN96T
1068,Illinois,Chicago,"Chicago, Damn",– Bobbi Humphrey,spotify:track:52wleLPMLd50hEWoCyHvPN
1069,Illinois,Chicago,"Chicago, Illinois",– from Victor/Victoria,spotify:track:1X3MpeiqkXf6Hh6cgiR9Cd
1070,Illinois,Chicago,"Chicago, Mon Amour",– Made in Sweden,spotify:track:76kFNqHnmrS5fp66g5q5L7
1071,Illinois,Chicago,Chicago My Home Town,– Barry Goldberg,spotify:track:7huVOjGlQ96SD3m8AV48dE
1072,Illinois,Chicago,"Chicago, My Home Town",– composer & lyricist: Paul S. Hargrow,spotify:track:7huVOjGlQ96SD3m8AV48dE
1073,Illinois,Chicago,"Chicago, New York",– The Aislers Set,spotify:track:1z9qvZfQZAAZwdPjDMZwPo
1074,Illinois,Chicago,"Chicago, Now!",– The Fall,spotify:track:4pUDd3RGzmg8B2hoTVkY1L
1075,Illinois,Chicago,"Chicago, Prairie Gem of Illinois",– composer & lyricist: Laura Aborn,error
1076,Illinois,Chicago,"Chicago, the City of Today",– composer: Bill Snyder; lyricist: Ann Marsters,error
1077,Illinois,Chicago,"Chicago, the Gem on the Shore",", 1923 – composer & lyricist: J. A. Johnson",error
1078,Illinois,Chicago,"Chicago, the Most Beautiful City",– composer & lyricist: Frank Padula,spotify:track:4Q1FxQLdpVscxtYCrVg6NV
1079,Illinois,Chicago,Chicago...,– Screeching Weasel,spotify:track:4wVOKKEHUJxHCFFNUWDn0B
1080,Illinois,Chicago,Chicago Woman,Sonny Turner & Sound Limited,spotify:track:6DW3KgSRAJ01nKUpfccktX
1081,Illinois,Chicago,Chicago Women,Willie James Lyons,spotify:track:04iUT8m1pjNkF950MjG1e6
1082,Illinois,Chicago,Chicagoland Twirl Polka,– Frankie Yankovic,spotify:track:65AJ8soTokrnx4abCi4JXp
1083,Illinois,Chicago,Chicago x 12,– Rogue Wave,spotify:track:3dNrOxN4G71UBpbbQdvPFh
1084,Illinois,Chicago,Christmas in Chicago,– Marilyn Scott,spotify:track:3II5jlrtf5cBwmVtIrRRUF
1085,Illinois,Chicago,City in a Garden,– Fall Out Boy 2018,spotify:track:3rBO0a30kWk85iYAV8K5as
1086,Illinois,Chicago,City Lights,– Lucky Boys Confusion,spotify:track:58tAaKXQgeQm36yveIB7qL
1087,Illinois,Chicago,City of CHI,– Juice,spotify:track:6owqwMXPP3Vr2305OmQ7N2
1088,Illinois,Chicago,City of Chicago,"– Luka Bloom, Christy Moore",spotify:track:4j0MVUXk20bPg1Gx17CwYm
1089,Illinois,Chicago,City of Promise. 1934 Century of Progress Song,– composer: Jos. SnablAntes; lyricist (Czech text): Vasek Niederle; lyricist (English translation): Libushka Bartusek,error
1090,Illinois,Chicago,Clark Street,– Elmer Bernstein,spotify:track:2rZnMBGloNLO6rU1AOuFSL
1091,Illinois,Chicago,Clean Up Chicago,Josef Myrow and Mack Gordon,spotify:track:0vVSocWLSIB69T40tAC2L6
1092,Illinois,Chicago,Closer to Our Graves,– Lucky Boys Confusion,spotify:track:341DJek4PFSjHp1WCUmJ1A
1093,Illinois,Chicago,Cold and Windy Night,– The Fantastic Four,spotify:track:02CSrD4DNxiDrVKIiaGe0T
1094,Illinois,Chicago,Cold Chicago,– Humming House[2],spotify:track:1ZOHebkPHup4IhRs1A35Yr
1095,Illinois,Chicago,Cold Chicago Wind,Jack Bonus,spotify:track:4QIUOEDPgI2r5KMOd6k1kH
1096,Illinois,Chicago,Cold Chicago Winds,Country Boys (featuring the Willis Brothers),spotify:track:4QIUOEDPgI2r5KMOd6k1kH
1097,Illinois,Chicago,Cold Windy City of Chicago,– Boxcar Willie,spotify:track:2Bt9MZAJTOUPSo8g9hfSh9
1098,Illinois,Chicago,Columbia Fair (Grand March),– composer: Theodore Moelling,spotify:track:1AyeINDFiEn72KavQr7c1E
1099,Illinois,Chicago,Columbian Guards March – The Musical Hit of the World's Fair,", 1892 – composer & lyricist: T. P. Brooke",error
1100,Illinois,Chicago,Columbus Fair (Grand March),– composer: Geo. Schleiffarth,spotify:track:1AyeINDFiEn72KavQr7c1E
1101,Illinois,Chicago,Come On! Feel the Illinoise! – Sufjan Stevens,,spotify:track:6oNs211OtOGzyZ2fvnMPHS
1102,Illinois,Chicago,Come to Chicago,– composer: Dorothy Giffey; lyricist: James Andrichen,spotify:track:3jiAm2Pe7Iv2jO1tZxvZvK
1103,Illinois,Chicago,Coming from Chicago' – Angelo D'Onorio,,spotify:track:69KItShDeD2rYhHsUaSmn8
1104,Illinois,Chicago,Conover March,(dedicated to the officials of the World's Columbian Exposition) 1893 – composer: Ion Arnold,error
1105,Illinois,Chicago,Con–,– Frode Gjerstad Trio With Steve Swell,spotify:track:2fZTS0VboxRpF0FdfY7E5P
1106,Illinois,Chicago,Cook County Jail,– Tom Edwards Country Four,spotify:track:6ZfSXhqojBGB8BdRFb96Im
1107,Illinois,Chicago,The Corner,"– Common, featuring Kanye West, from Be, 2005",spotify:track:31rk2z6XreitvUgfJURMil
1108,Illinois,Chicago,The Count On Rush Street,"Shelly Manne Septet, 1951  composer: Bill Russo",spotify:track:2esOrq0oeEyw9r6pn6nTnV
1109,Illinois,Chicago,Crook County,"– Twista, from Mobstability, 1998",spotify:track:5t7AEyixkeA9yuAwTH9W0s
1110,Illinois,Chicago,Cubs in Five,– The Mountain Goats,spotify:track:3eqL5oHLBmtqZYfLENN9GO
1111,Illinois,Chicago,Daley's Gone,– Steve Goodman,spotify:track:2fKj7G5dANA0uZqjk1bWT5
1112,Illinois,Chicago,Dancing in the Street,", 1964 – Martha and the Vandellas",spotify:track:6FvGb9ZHyl1nT20d7ovwB9
1113,Illinois,Chicago,Dead End Street,– Lou Rawls,spotify:track:6lE3fTHyZgGtT2adZSLYxW
1114,Illinois,Chicago,Dear Chicago,– Ryan Adams,spotify:track:2J8P81JjKemQZczm1mfp3s
1115,Illinois,Chicago,Dearborn Steeet Breakdown,– Charles Avery,error
1116,Illinois,Chicago,Dearie,Gordon MacRae & Jo Stafford,spotify:track:6BKOUeKir4DgWGDozn2kiM
1117,Illinois,Chicago,Dennehy,– Serengeti,spotify:track:4T3Vl4y9ggN9dPbYfKyYqh
1118,Illinois,Chicago,Don't Call On Me,The Monkees,spotify:track:2YcWQ824kLYIkap32zPIda
1119,Illinois,Chicago,Down on Maxwell Street,Micky Moody and Paul Williams (British singer),spotify:track:3nFEGjqVH6XtsLDVKYRFBg
1120,Illinois,Chicago,Down On Wabash Avenue,Josef Myrow and Mack Gordon,error
1121,Illinois,Chicago,Dr. Chicago,– Udo Lindenberg,spotify:track:5DcGMeBU6yolbQIKKW36mN
1122,Illinois,Chicago,A Dying Cubs Fan's Last Request,– Steve Goodman,spotify:track:4hParRLzCIKsTbRCiArbf4
1123,Illinois,Chicago,East Chicago Blues,– Sparks Brothers,spotify:track:3C4BkzhjpZwrkBCTFfE1mP
1124,Illinois,Chicago,East Wacker Drive,– Phil Barry,error
1125,Illinois,Chicago,End Of Chicago,Shock Stars,spotify:track:6SqUCAanCh7mXziZr6utID
1126,Illinois,Chicago,An Esthete On Clark Street,– William Russo,error
1127,Illinois,Chicago,Everything,– Dawn Xiana Moon,spotify:track:2djqsVwanING2llSkax2IK
1128,Illinois,Chicago,The Eggplant That Ate Chicago,", 1967 – Dr. West's Medicine Show and Junk Band",spotify:track:41Fx61cxOn6a6XqpNlqOds
1129,Illinois,Chicago,The EL,– Rhett Miller,spotify:track:6C0SXBkORzmP9elNb2gMcu
1130,Illinois,Chicago,ElANoy,Billy Corgan 2004,spotify:track:2wYX2nSsBcPPnkKCJ69Amo
1131,Illinois,Chicago,The Elements: Fire,", recorded 1966, released 2011 – Brian Wilson",spotify:track:3w75LMVt7xojsivvBaHB3Q
1132,Illinois,Chicago,Epitaph Of A Small Winner,Archie Shepp & Chicago Beau,spotify:track:0Pgam4NknnmtMMt89THnNl
1133,Illinois,Chicago,Everything is Big in Chicago,Gustave Kerker and Frederic Ranken,error
1134,Illinois,Chicago,Fair Women of Chicago Waltzes,", 1893 – composer: Theo. H. Northrup",error
1135,Illinois,Chicago,"Far, Far Away",– Wilco,spotify:track:6uyZDvXO9CQcT0MfQCYtrj
1136,Illinois,Chicago,Ferris Wheel March,", 1893 – composer: Geo. Maywood",error
1137,Illinois,Chicago,Ferris Wheel Waltz,", 1893 – composer: G. Valisi; lyricist: Harry C. Clyde",spotify:track:2OGh2oqro1SbJbM658l4le
1138,Illinois,Chicago,First Steps,", 1993 – composer: Tommy Stinson, from Bash & Pop",spotify:track:03EyMyy76ZYLUh3lvGrNgE
1139,Illinois,Chicago,Food from Chicago,– Lord Christo,spotify:track:148HKHxnvyzoziYPhs8SHG
1140,Illinois,Chicago,"The Forest of Love and Romance, Theme song of the Black Forest Village, A Century of Progress Chicago",", 1933 – composer: Ernie Kratzinger; lyricist: Charles Kallen",error
1141,Illinois,Chicago,FortySeventh and State,– Bud Freeman,error
1142,Illinois,Chicago,From Chicago to the Sky,– Seventh Avenue,spotify:track:3lsKH7NiVmtRjqYKU9hT4S
1143,Illinois,Chicago,From Chicago with Love,– Harlan Howard,spotify:track:7dFOpksWmcyJKqN9GSpos1
1144,Illinois,Chicago,From London to Chicago,Wild Bob Burgos (from Matchbox (band)) & The Dreadnoughts,spotify:track:3hcz7RZODBHm7QDEuorRWn
1145,Illinois,Chicago,Full Moon,– Common,spotify:track:4V9vNNJ5NNEwjXuIKF60Gc
1146,Illinois,Chicago,"Funeral March in Memoriam, Carter H. Harrison, Mayor of Chicago",", 1893, composer: W. Herbert Layon",error
1147,Illinois,Chicago,"Funk, Chicago Style",Dick Hyman,spotify:track:7BCOyG75J8n1eHhULizPBW
1148,Illinois,Chicago,Get Busy,– Mr. Lee,spotify:track:2xZYWWIvK97AAp31020B98
1149,Illinois,Chicago,The Girl from Chicago,– Benny Bell,spotify:track:1pfuGjKxqBC8JelL2rSYeX
1150,Illinois,Chicago,Git On Up,– Fast Eddie and Sundance,spotify:track:5KIHadde9VqCGTJUJP0Puh
1151,Illinois,Chicago,Go Cubs Go,– Steve Goodman,spotify:track:7bwLJXvQyP8IXropz0X0hy
1152,Illinois,Chicago,Go Go Chicago. Wonder City Home of Mine.,– composer & lyricist: Clitus M. Wickens,error
1153,Illinois,Chicago,Go Go Gadget Flow,"– Lupe Fiasco, from Lupe Fiasco's The Cool, 2007",spotify:track:2aLVUQS8wipdinBxqm5YBE
1154,Illinois,Chicago,GO,"– Ofycial & Wade White Owl, featuring Papi",spotify:track:4NhDYoQTYCdWHTvlbGVgwo
1155,Illinois,Chicago,Goin' Back to Chicago,– Chet Oliver,spotify:track:3MgnIsy7xHclZvQgTs3Y2j
1156,Illinois,Chicago,Goin' Back to Chicago,– Smokey Hogg,spotify:track:3MgnIsy7xHclZvQgTs3Y2j
1157,Illinois,Chicago,Goin' to Chicago Blues,", 1939 – composer: Count Basie Orchestra, Lou Rawls",spotify:track:76Pw1vs50LWBh84MzVWpgd
1158,Illinois,Chicago,Goin' to Chicago,– traditional; recorded  Mike Westbrook,spotify:track:3JUjzRscQefQOuD3JJu6Fh
1159,Illinois,Chicago,Golden Ring,– Tammy Wynette & George Jones,spotify:track:5HywRUoXNfWpiR1dAwoZip
1160,Illinois,Chicago,Gone To Chicago,The Pied Pipers,spotify:track:7EqqjTZRfZiIx2bIvCMrXk
1161,Illinois,Chicago,Goode to Guyville,– Urge Overkill,error
1162,Illinois,Chicago,Got To Leave ChiTown,Chicago Blues A Living History,error
1163,Illinois,Chicago,Grand Exposition March,– composer: Louis Falk,spotify:track:4COU2GteubL921z9j0Z7hf
1164,Illinois,Chicago,Grand Terrace Ballroom,"Albert Nicholas, Herb Fleming, Nelson Williams, Benny Waters, Joe Turner (jazz pianist)",spotify:track:4rnmNP3GeYMJQb5tskvQHH
1165,Illinois,Chicago,Grand Terrace Rhythm,– Bob Cros,spotify:track:4vNK7hxybYCZUBKZLRK1Uj
1166,Illinois,Chicago,Great Big Friendly Town Chicago,– Dora Hall,error
1167,Illinois,Chicago,Greater Chicago March,– composer: Jacob Valentine Havener; lyricist: Agner Clark Winkler,error
1168,Illinois,Chicago,Green Mill Garden Blues,", 1920 – composer: unknown (88 key piano roll)",error
1169,Illinois,Chicago,Greetings. Chicago's Official Song. 1833–Chicago–1933,– composer & lyricist: George D. Gaw; transcriber & arranger: Frank Barden,error
1170,Illinois,Chicago,Growing Up,"– Fall Out Boy, from Fall Out Boy's Evening Out with Your Girlfriend, 2003",spotify:track:0hvMMP2It7vjCdaPyJIbAD
1171,Illinois,Chicago,A Guided Tour of Chicago,"– The Lawrence Arms, 1999",spotify:track:5lB0VPflgfenfldUFNlz04
1172,Illinois,Chicago,Hail Chicago (March),", 1933 – composer: Stanley Kay; lyricist: A. Seaborg",error
1173,Illinois,Chicago,"Hail to Thee, Chicago",– composer: John E. King; lyricist: Estella A. JohnsonHunt,spotify:track:0VeFLffDZHIyIKZqgPBYEG
1174,Illinois,Chicago,"Hail, Chicago, Hail",", 1949 – composer and lyricist: Lesley Kirk",spotify:track:0pYzefjNscelTI6KTZOEru
1175,Illinois,Chicago,"Hail, Chicago! Official Song of the Pageant of Progress",", 1921 – composer: Bob Allen; lyricist: Ted Turnquist",error
1176,Illinois,Chicago,Hands Open,– Snow Patrol,spotify:track:6DGdgBp6NxutVUafsnUdnN
1177,Illinois,Chicago,Happy Summertime,"– R. Kelly, featuring Snoop Dogg, from TP.3 Reloaded, 2005",spotify:track:7eyt0T1u7q8eXzCbss7N5A
1178,Illinois,Chicago,Harlem Avenue,Red Callender,spotify:track:5CAKyUL4907hjiOkHM6Uz1
1179,Illinois,Chicago,Hastings Street,– Blind Blake,spotify:track:2eFAWJxAX1zLuLx6iKdhq0
1180,Illinois,Chicago,The Hat He Never Ate,– composer: Ben Harney; lyricist: Howard S. Taylor,error
1181,Illinois,Chicago,Hello Chicago FoxTrot,", 1933 – composer: Anthony Misuraca; lyricist: Joseph Argento",error
1182,Illinois,Chicago,Hello Chicago,"– Topher Jones & Amada, featuring Ido vs. The World",spotify:track:5W31Sff9h70wOQFPBiIoi4
1183,Illinois,Chicago,Highway 55,– The O'Kanes,spotify:track:6VJdozYQJhiJ9hpPACyz3K
1184,Illinois,Chicago,Hitch Hike,"– The Rolling Stones, from Out Of Our Heads, 1965; originally  Marvin Gaye",spotify:track:6x2UZ23VnIoq84XbO14Qz1
1185,Illinois,Chicago,Home,– Kanye West,spotify:track:2ovQ5MCx91XVjgVWEPfvks
1186,Illinois,Chicago,Home In Chicago,Dave Riley And Bob Corritore,spotify:track:6DcgHqGjRmY003nzOYVloi
1187,Illinois,Chicago,Homecoming,"– Kanye West, featuring Chris Martin from Graduation, 2008 (charted at #9 on UK Singles, music video features the bean sculpture in Millennium Park)",spotify:track:6vxU64pcIuQ38O015Zy4qj
1188,Illinois,Chicago,Homesick at Spacecamp,"– Fall Out Boy from Take This To Your Grave, 2003",spotify:track:5sIweazpg4JYBjyxABUx9y
1189,Illinois,Chicago,Hometown Chicago,John Parricelli And Stan Sulzmann,spotify:track:0QHfgXyIje1jTAIznJzXeu
1190,Illinois,Chicago,I94,Jules Blattner,spotify:track:4DOjYAjS4l6O3Odr8HXUcw
1191,Illinois,Chicago,(I've Got the) Old Chicago Blues,– Bob Gentile,error
1192,Illinois,Chicago,I Am Proud of Chicago,– composer & lyricist: Ben Schwartzberg,error
1193,Illinois,Chicago,I Came Home,– Rhymefest,spotify:track:62vR9bMq3tP0lfyrMtpujE
1194,Illinois,Chicago,I Dream of Chicago,– Parlours,spotify:track:2wMpgscZolRktITQo79eWv
1195,Illinois,Chicago,I Got a Mind to Go to Chicago,– Jackie Payne Steve Edmonson Band,spotify:track:6YgYIXcvK4w7oov5nN7bYk
1196,Illinois,Chicago,I Got the Chicago Blues,– Jim Peterik,spotify:track:2FCnDUnLYpzyRmct3zTW5V
1197,Illinois,Chicago,I Left My Mind In Chicago,Abu Talib (musician),error
1198,Illinois,Chicago,I Love Chicago,Little Mike and the Tornadoes,spotify:track:2cN99dV1XqeRSSelGO5gh3
1199,Illinois,Chicago,I Love My Radio (Midnight Radio),– Taffy,spotify:track:1Ah1df8H7jJkqEFYOnz6dj
1200,Illinois,Chicago,I Might Need Security,– Chance The Rapper,spotify:track:3EApebexZ7YqDIqw2EMTDh
1201,Illinois,Chicago,I Murdered Them In Chicago'  from Glad To See You,,error
1202,Illinois,Chicago,I Smell Chicago,Catfish Hodge,spotify:track:3mNrB9IXlMU7nIXTz2ZaVS
1203,Illinois,Chicago,I Used to Work in Chicago. I Did But I Don't Anymore,", 1944 – composers & lyricists: Larry Vincent & Sunny Skylar",error
1204,Illinois,Chicago,(I Want To Go To) Chicago,R.T. & The Rockmen Unlimited,spotify:track:6vQkyzTb2KHkWKuuT6XIY1
1205,Illinois,Chicago,I Was Having A Hard Time In Chicago,Mike Martin,error
1206,Illinois,Chicago,I–94,– Jules Blattner,spotify:track:26VdfyrNQVN8wytpcwR0EK
1207,Illinois,Chicago,I'll Meet You in Chicago (at the Fair),", 1928 – composers & lyricists: Charlie Harrison & Fred Rose",error
1208,Illinois,Chicago,I'm a Ramblin' Man,– Waylon Jennings,spotify:track:7FYQ5lnm0aSw5gughyiDkr
1209,Illinois,Chicago,I'm Dying Tomorrow,– Alkaline Trio,spotify:track:3KPa8afyEGV9CsBGVRiZWF
1210,Illinois,Chicago,I'm from Chicago,", 1917 – composer: Leo Edwards; lyricist: Blanche Merrill",spotify:track:67zEuKOH6XR07YAVqaSlDs
1211,Illinois,Chicago,I'm Going Right Back to Chicago,(Coon Song) 1906 – composer: Egbert Van Alstyne; lyricist: Harry Williams,error
1212,Illinois,Chicago,I've Got All This Ringing in My Ears and None on My Fingers,"– Fall Out Boy, from Infinity on High, 2007",spotify:track:1CRVvwUopaV42bAEvoh194
1213,Illinois,Chicago,I've Got To Leave ChiTown,Carey Bell & Lurrie Bell,error
1214,Illinois,Chicago,In 1933 (Where Will You Be),– composer & lyricist: Art Kassel; arranger: Charles Adams,error
1215,Illinois,Chicago,In Cairo Street: A Characteristic Fantasie for Piano,", 1893 – composer: Geo. Schleiffarth",error
1216,Illinois,Chicago,In Chicago,– composer & lyricist: Olive Jeane,spotify:track:4OJFkrRQqol4FsPesF8eu4
1217,Illinois,Chicago,In Old Chicago,", 1937 – composers & lyricists: Mack Gordon & Harry Revel",spotify:track:0bnTzhQWPdXbCZGPiRpOwU
1218,Illinois,Chicago,In Tha Chi,"– Shawnna, featuring Syleena Johnson, from Block Music, 2006",spotify:track:6ugxh3dn6IYHTYYrYW2oyG
1219,Illinois,Chicago,In the Ghetto,– Elvis Presley,spotify:track:7KWoeBqSdZHEloYKVxssfG
1220,Illinois,Chicago,"In the Kitchen – Umphrey's McGee from Anchor Drops, 2004, progressive rock",,error
1221,Illinois,Chicago,Inner Circles of Chicago,– Rodger Wilhoit,error
1222,Illinois,Chicago,Into the Chicago Ass,– Southall Riot,error
1223,Illinois,Chicago,"Is Chicago, Is Not Chicago",– Soul Coughing,spotify:track:5tGZaAGbYTMj0SfMsFBRBo
1224,Illinois,Chicago,It's a Cold Winter,"– Frankie Knuckles, Chicago house",spotify:track:4MrfQL4TYQXJBlZYpAHTuE
1225,Illinois,Chicago,It's a Way They Have in Chicago,(from Sinbad) 1896 – composer: Gustav Lüders; lyricist: M.E. Rourke,error
1226,Illinois,Chicago,It's a Way They Have in Chicago,(from the Royal Chef) 1904 – composer: Ben M. Jerome; lyricists: Geo. E. Stoddard & Chas. S. Taylor,error
1227,Illinois,Chicago,Jackson Park El Train,Harold Mabern Trio,spotify:track:6Zyjn8j4hvFGe4gOWOry7m
1228,Illinois,Chicago,Jackson Park Express,"– ""Weird Al"" Yankovic",spotify:track:1zYtQplEXZK3EeQYjQdynI
1229,Illinois,Chicago,Jazz Music,"– Gang Starr (a different song to the group's more famous ""Jazz Thing"")",spotify:track:4VKO53f5BXKhTeq3CRMDq7
1230,Illinois,Chicago,Jazz Thing,– Gang Starr,spotify:track:5cASTqViZHeLnMAD2d2kKK
1231,Illinois,Chicago,Jesus Just Left Chicago,– ZZ Top,spotify:track:4tYjuquiKvx2Pq6usRTVWB
1232,Illinois,Chicago,Joe Chicago,– Big Walter Horton,spotify:track:5DRnA6XIIl1cUxeF4N5Boh
1233,Illinois,Chicago,Joe Murphy's Farewell To Chicago,– Old Rope String Band,error
1234,Illinois,Chicago,"Jolly Bears, To Those on the Board of Trade of Chicago. Polka Humoristic",", 1880 – composer: Geo. Schleiffarth",error
1235,Illinois,Chicago,Jumpin' in the Pump Room,John Kir (musician) and his Orchestra,spotify:track:3Kzd7eIMXCNvq7Dd0Z3ITG
1236,Illinois,Chicago,Just Blew in from the Windy City,"– Doris Day, 1953",spotify:track:6g6IumW57HO2qaxZ2mt8Vo
1237,Illinois,Chicago,Just for Money,– Paul Hardcastle,spotify:track:27hOO54qrYazKt3OFnBSmy
1238,Illinois,Chicago,Keys to the City,"– Ministry & Co Conspirators, 2008",spotify:track:7zDBNOV5UXcXhjkf4XsL3C
1239,Illinois,Chicago,"Let's Go, GoGo White Sox",– Walter Jagiello,error
1240,Illinois,Chicago,"L.A., Goode",– The Ides of March,spotify:track:4EMZpWktBjlEjTRP79wIkF
1241,Illinois,Chicago,Lady From Chicago,Neal Sharpe,spotify:track:4CEHv7AoP8hucuYceSjy3A
1242,Illinois,Chicago,Lake Effect Kid,"(demo song) – Fall Out Boy, from Welcome to the New Administration, 2008",spotify:track:0UvVZwaKrd4JRXS03D59p0
1243,Illinois,Chicago,Lake Michigan,"– Rogue Wave, 2007",spotify:track:30lubdu2sSFsZsGQJVGjRG
1244,Illinois,Chicago,Lake Shore Drive,"– Aliotta Haynes Jeremiah, 1971",spotify:track:46MX86XQqYCZRvwPpeq4Gi
1245,Illinois,Chicago,Lake Shore Drive,– Art Porter Jr.,spotify:track:46MX86XQqYCZRvwPpeq4Gi
1246,Illinois,Chicago,Lake Shore Drive,– ESmoove (Eric Miller),spotify:track:46MX86XQqYCZRvwPpeq4Gi
1247,Illinois,Chicago,Lake Shore Drive,– Gerald Wilson Orchestra,spotify:track:46MX86XQqYCZRvwPpeq4Gi
1248,Illinois,Chicago,Lake Shore Drive,– The Innocence Mission,spotify:track:3SgZjX2GE6KEtsHBVt9Kjc
1249,Illinois,Chicago,Lake Shore Drive,– Theo Parrish,spotify:track:121iCTDOKMbSbfqGocwDeE
1250,Illinois,Chicago,Lake Shore Drive Boogie,– Lefty Dizz,spotify:track:1alzD6sprUpJPNZTcKPPbn
1251,Illinois,Chicago,Lake Shore Drive (Chicago Concerto),101 Strings,error
1252,Illinois,Chicago,Lake Shore Drive (Slight Return),– Harris Newman,spotify:track:32CfhB8FPrlOqkfsP9v4pi
1253,Illinois,Chicago,Lake Shore Driving,– Duran Duran 1988,spotify:track:60UyZ6HS8NJUuZyxuH12Bh
1254,Illinois,Chicago,Lakefront Blues,Dan Burley And His Skiffle Boys,spotify:track:2UMMO8sEma8V0M9e4mtfTd
1255,Illinois,Chicago,Lakeshore Cowboy,– Ramsey Lewis,spotify:track:3006qVviKn249HDmE0h7Aw
1256,Illinois,Chicago,The Last Day of the Fair,", 1893 – composer: Frank Swain",spotify:track:6qWIK7SIWiq1OvidW3iynp
1257,Illinois,Chicago,Lawndale Blues,Eddie Taylor Blues Band,spotify:track:626poLoEtPhV6dCBfARSje
1258,Illinois,Chicago,LAX to O'Hare,– The Academy Is...,spotify:track:1lbR0Zzusn0gBWrwGa11x9
1259,Illinois,Chicago,Leader of the Band,– Dan Fogelberg (from Peoria),spotify:track:3O4s2m47MFhnGqmpkjoKYk
1260,Illinois,Chicago,"Leavin' Chicago, A.M.F.",– Aliotta Haynes Jeremiah,spotify:track:400mPtUFmv7ROeW2gkTDNY
1261,Illinois,Chicago,Leaving Chicago,– Knockout,spotify:track:0i0frSULYhs85Dtmo5XOyR
1262,Illinois,Chicago,Lido Shuffle,– Boz Scaggs,spotify:track:2NtqZmfRIDkXJ2YvY2Kv1F
1263,Illinois,Chicago,Lincoln Park Pirates,– Steve Goodman,spotify:track:6YjRdbpIIL8BWyOpE71NeI
1264,Illinois,Chicago,Little Joe from Chicago,", 1930 – composers: Mary Lou Williams, Henry Wells",spotify:track:0QGVC5myRaBhKv7EMAXaUP
1265,Illinois,Chicago,Living in Chicago,– The Bee Gees,spotify:track:13oFUdCouERELB2U0GwhPR
1266,Illinois,Chicago,Logan Square,– Jimmy McPartland And Art Hodes,spotify:track:6Sc77Ldwpy5Yvn29wrUJ08
1267,Illinois,Chicago,London House,– Billy Walker,spotify:track:271IVmtLhFst1TY7TBOeBs
1268,Illinois,Chicago,Long Line To Chicago,Larry Hosford,error
1269,Illinois,Chicago,Lovin's Been Here and Gone to Mecca Flats,", 1926 – composer: Jimmy Blythe",error
1270,Illinois,Chicago,Mama Chicago,– Bonnie Koloc,spotify:track:7xGj85wHIbpzX21XppaA5A
1271,Illinois,Chicago,Mama Chicago,– Mike Westbrook,spotify:track:2sIhe36lcc5vX7HhF9Gk0w
1272,Illinois,Chicago,The Man from the South with a Big Cigar in his Mouth,", 1930 – composers & lyricists: Rube Bloom & Harry M. Woods",spotify:track:49IfAKKKztuF2X32pRgqVW
1273,Illinois,Chicago,"The March Maroon, University of Chicago March and TwoStep",", 1906 – composer: Harry Turner",error
1274,Illinois,Chicago,Marching on to Chicago,", 1933 – composers & lyricists: Richard Daly, Thomas Parmiter & Clitus Wickens",error
1275,Illinois,Chicago,Maxwell Street,– Chris Rea,spotify:track:2zUpAaj0hhBNnJ0CROrWvY
